Dataset,Model,Hour,Score,std
dev,bigrams,0.5,57.61113818879346,0.5012051476586677
dev,bigrams,1.0,58.200617861695044,0.7070592111038582
dev,bigrams,2.0,58.68985075487869,0.498927696336936
dev,bigrams,4.0,58.897879709554566,0.4162867547892622
dev,bigrams,8.0,59.12723773498719,0.2613726759876064
dev,bigrams,16.0,59.27697780885825,0.185811376711768
dev,bigrams,32.0,59.388786072182036,0.20865944038090928
dev,bigrams,64.0,59.5875755035664,0.1434900999878961
dev,bigrams,128.0,59.70186294454491,
dev,trigrams,0.5,56.85753881919328,0.9727573645237749
dev,trigrams,1.0,59.20392386520965,1.3150666790253553
dev,trigrams,2.0,62.09872370914015,1.478224962303362
dev,trigrams,4.0,64.12629835524663,1.335440666736505
dev,trigrams,8.0,66.01415682059348,0.904011645991002
dev,trigrams,16.0,67.5212118322408,0.5927412696070855
dev,trigrams,32.0,68.67094297832529,0.5742856143784918
dev,trigrams,64.0,69.84329870529436,0.16696575742162545
dev,trigrams,128.0,70.44122494725738,
dev,unigrams,0.5,54.25425205456819,0.158433664014149
dev,unigrams,1.0,54.1962952678022,0.2742477441056436
dev,unigrams,2.0,54.2507348990905,0.2345138003080362
dev,unigrams,4.0,54.26769180711744,0.18502202409058788
dev,unigrams,8.0,54.27754756842411,0.185383973170393
dev,unigrams,16.0,54.34005948849081,0.14777763686437873
dev,unigrams,32.0,54.3370696610659,0.09015857314693766
dev,unigrams,64.0,54.3073371885674,0.010960856603207832
dev,unigrams,128.0,54.4160952883263,
test,bigrams,0.5,57.75888863947512,0.42472126045814756
test,bigrams,1.0,58.278995588932375,0.7164959781393475
test,bigrams,2.0,58.81541593387578,0.5602371787315623
test,bigrams,4.0,59.02124458401806,0.43526130751463327
test,bigrams,8.0,59.24342896499712,0.2967254191590073
test,bigrams,16.0,59.415125451446265,0.19014575271321926
test,bigrams,32.0,59.588256864102306,0.2455852270669869
test,bigrams,64.0,59.73857317078914,0.3747076942677875
test,bigrams,128.0,59.83544479131842,
test,trigrams,0.5,56.86576194213718,0.9241217740423889
test,trigrams,1.0,59.20983716714421,1.3770077400576155
test,trigrams,2.0,62.11279959571916,1.4756396827620388
test,trigrams,4.0,64.06295811692948,1.2332165079207136
test,trigrams,8.0,65.82412795431466,0.8655265001988312
test,trigrams,16.0,67.25743051925934,0.5663925078072636
test,trigrams,32.0,68.45762820603373,0.6014591219147044
test,trigrams,64.0,69.39020810868928,0.010357678919359568
test,trigrams,128.0,70.03953735487404,
test,unigrams,0.5,54.02382805203973,0.1958476447692948
test,unigrams,1.0,54.0073357812669,0.3104567538304402
test,unigrams,2.0,54.09888942572933,0.23089611687635633
test,unigrams,4.0,54.11554711399087,0.15856176903317154
test,unigrams,8.0,54.14470813880532,0.13490103881449192
test,unigrams,16.0,54.195184813394356,0.1065750841305331
test,unigrams,32.0,54.211033623624466,0.11388670927519899
test,unigrams,64.0,54.23269779664396,0.028038289552594204
test,unigrams,128.0,54.24902863515293,
